KPI,Description,Formula,Granularity
Avg Price (Best Sellers),Average price (Sales รท Quantity) for top-selling products,"SUM(SALES) / NULLIF(SUM(QUANTITY), 0)","Month, Product"
Total Sales by State,Monthly sales aggregated by state,SUM(SALES),"Month, State"
Best Customers by Segment,Top 10 customers per segment based on total sales,RANK() OVER (PARTITION BY SEGMENT ORDER BY SUM(SALES) DESC),"Segment, Customer"
Top Products by Sales,Products with highest total sales per state per month,"RANK() OVER (PARTITION BY MONTH, STATE ORDER BY SUM(SALES) DESC)","Month, State, Product"
Bottom Products by Sales,Products with lowest total sales per state per month,"RANK() OVER (PARTITION BY MONTH, STATE ORDER BY SUM(SALES) ASC)","Month, State, Product"
Avg Delivery Time,Average delivery time in days for products,"AVG(DATEDIFF('DAY', ORDERDATE, SHIPDATE))","Month, State, Product"
Fastest Products (Delivery),Products with fastest delivery per state per month,"RANK() OVER (PARTITION BY MONTH, STATE ORDER BY AVG_DELIVERY_TIME ASC)","Month, State, Product"
Slowest Products (Delivery),Products with slowest delivery per state per month,"RANK() OVER (PARTITION BY MONTH, STATE ORDER BY AVG_DELIVERY_TIME DESC)","Month, State, Product"
Total Sales by Customer,Total revenue generated by each customer,SUM(SALES),"Customer, Segment"
Quantity Sold,Total quantity of items sold per product,SUM(QUANTITY),"Month, Product"
Total Profit,Total profit from all orders,SUM(PROFIT),"Month, Product/Customer/State"
Avg Discount,Average discount applied to orders,AVG(DISCOUNT),"Month, State, Product"
